1.9950e+01	4.2325e-03	4.2325e-03	6.7828e-13
1.9850e+01	4.2192e-03	4.2192e-03	6.7615e-13
1.9750e+01	4.2057e-03	4.2057e-03	6.7399e-13
1.9650e+01	4.1934e-03	4.1934e-03	6.7203e-13
1.9550e+01	4.1868e-03	4.1868e-03	6.7096e-13
1.9450e+01	4.1815e-03	4.1815e-03	6.7011e-13
1.9350e+01	4.1808e-03	4.1808e-03	6.7001e-13
1.9250e+01	4.1836e-03	4.1836e-03	6.7045e-13
1.9150e+01	4.1933e-03	4.1933e-03	6.7201e-13
1.9050e+01	4.2216e-03	4.2216e-03	6.7654e-13
1.8950e+01	4.2493e-03	4.2493e-03	6.8098e-13
1.8850e+01	4.2695e-03	4.2695e-03	6.8422e-13
1.8750e+01	4.2869e-03	4.2869e-03	6.8701e-13
1.8650e+01	4.2406e-03	4.2406e-03	6.7958e-13
1.8550e+01	4.1571e-03	4.1571e-03	6.6620e-13
1.8450e+01	4.1176e-03	4.1176e-03	6.5987e-13
1.8350e+01	4.1393e-03	4.1393e-03	6.6334e-13
1.8250e+01	4.1635e-03	4.1635e-03	6.6723e-13
1.8150e+01	4.1938e-03	4.1938e-03	6.7208e-13
1.8050e+01	4.2112e-03	4.2112e-03	6.7487e-13
1.7950e+01	4.1631e-03	4.1631e-03	6.6716e-13
1.7850e+01	4.1105e-03	4.1105e-03	6.5873e-13
1.7750e+01	4.0847e-03	4.0847e-03	6.5460e-13
1.7650e+01	4.0681e-03	4.0681e-03	6.5194e-13
1.7550e+01	4.0902e-03	4.0902e-03	6.5548e-13
1.7450e+01	4.1199e-03	4.1199e-03	6.6024e-13
1.7350e+01	4.1244e-03	4.1244e-03	6.6096e-13
1.7250e+01	4.1214e-03	4.1214e-03	6.6047e-13
1.7150e+01	4.1256e-03	4.1256e-03	6.6116e-13
1.7050e+01	4.1310e-03	4.1310e-03	6.6202e-13
1.6950e+01	4.1185e-03	4.1185e-03	6.6002e-13
1.6850e+01	4.1067e-03	4.1067e-03	6.5813e-13
1.6750e+01	4.1520e-03	4.1520e-03	6.6539e-13
1.6650e+01	4.1877e-03	4.1877e-03	6.7110e-13
1.6550e+01	4.0797e-03	4.0797e-03	6.5380e-13
1.6450e+01	3.9799e-03	3.9799e-03	6.3781e-13
1.6350e+01	3.9997e-03	3.9997e-03	6.4098e-13
1.6250e+01	4.0251e-03	4.0251e-03	6.4504e-13
1.6150e+01	4.0376e-03	4.0376e-03	6.4705e-13
1.6050e+01	4.0365e-03	4.0365e-03	6.4688e-13
1.5950e+01	4.0192e-03	4.0192e-03	6.4410e-13
1.5850e+01	3.9501e-03	3.9501e-03	6.3303e-13
1.5750e+01	3.8643e-03	3.8643e-03	6.1929e-13
1.5650e+01	3.8410e-03	3.8410e-03	6.1555e-13
1.5550e+01	3.8445e-03	3.8445e-03	6.1611e-13
1.5450e+01	3.8839e-03	3.8839e-03	6.2242e-13
1.5350e+01	3.9086e-03	3.9086e-03	6.2639e-13
1.5250e+01	3.9109e-03	3.9109e-03	6.2674e-13
1.5150e+01	3.8251e-03	3.8251e-03	6.1300e-13
1.5050e+01	3.7672e-03	3.7672e-03	6.0372e-13
1.4950e+01	3.8474e-03	3.8474e-03	6.1657e-13
1.4850e+01	3.8346e-03	3.8346e-03	6.1451e-13
1.4750e+01	3.7645e-03	3.7645e-03	6.0328e-13
1.4650e+01	3.7456e-03	3.7456e-03	6.0026e-13
1.4550e+01	3.7958e-03	3.7958e-03	6.0830e-13
1.4450e+01	3.9054e-03	3.9054e-03	6.2587e-13
1.4350e+01	3.9016e-03	3.9016e-03	6.2525e-13
1.4250e+01	3.8751e-03	3.8751e-03	6.2102e-13
1.4150e+01	3.8485e-03	3.8485e-03	6.1675e-13
1.4050e+01	3.7858e-03	3.7858e-03	6.0669e-13
1.3950e+01	3.8288e-03	3.8288e-03	6.1360e-13
1.3850e+01	3.9546e-03	3.9546e-03	6.3376e-13
1.3750e+01	3.8194e-03	3.8194e-03	6.1208e-13
1.3650e+01	3.7681e-03	3.7681e-03	6.0386e-13
1.3550e+01	3.8140e-03	3.8140e-03	6.1122e-13
1.3450e+01	3.8881e-03	3.8881e-03	6.2309e-13
1.3350e+01	3.8198e-03	3.8198e-03	6.1215e-13
1.3250e+01	3.7930e-03	3.7930e-03	6.0785e-13
1.3150e+01	3.8623e-03	3.8623e-03	6.1896e-13
1.3050e+01	3.9303e-03	3.9303e-03	6.2986e-13
1.2950e+01	3.9115e-03	3.9115e-03	6.2683e-13
1.2850e+01	3.9038e-03	3.9038e-03	6.2560e-13
1.2750e+01	3.9162e-03	3.9162e-03	6.2760e-13
1.2650e+01	3.8757e-03	3.8757e-03	6.2111e-13
1.2550e+01	3.7124e-03	3.7124e-03	5.9494e-13
1.2450e+01	3.7793e-03	3.7793e-03	6.0565e-13
1.2350e+01	3.8427e-03	3.8427e-03	6.1581e-13
1.2250e+01	3.8278e-03	3.8278e-03	6.1343e-13
1.2150e+01	3.8204e-03	3.8204e-03	6.1225e-13
1.2050e+01	3.7620e-03	3.7620e-03	6.0289e-13
1.1950e+01	3.7263e-03	3.7263e-03	5.9716e-13
1.1850e+01	3.6983e-03	3.6983e-03	5.9268e-13
1.1750e+01	3.6911e-03	3.6911e-03	5.9152e-13
1.1650e+01	3.7227e-03	3.7227e-03	5.9659e-13
1.1550e+01	3.7439e-03	3.7439e-03	5.9998e-13
1.1450e+01	3.7172e-03	3.7172e-03	5.9570e-13
1.1350e+01	3.6538e-03	3.6538e-03	5.8554e-13
1.1250e+01	3.5646e-03	3.5646e-03	5.7124e-13
1.1150e+01	3.5393e-03	3.5393e-03	5.6719e-13
1.1050e+01	3.6515e-03	3.6515e-03	5.8518e-13
1.0950e+01	3.7088e-03	3.7088e-03	5.9436e-13
1.0850e+01	3.7104e-03	3.7104e-03	5.9462e-13
